id,name,level,parent,lineage,isActive,metadesc,metakeywords
2423,Tissue Processor,2,2225,/2225/2423/,1,NULL,NULL
2424,Transilluminators,2,2225,/2225/2424/,1,NULL,NULL
2425,Ultrasonic Cleaner,2,2225,/2225/2425/,1,NULL,NULL
2426,UV Crosslinker,2,2225,/2225/2426/,1,NULL,NULL
2427,Vacuum Blotter,2,2225,/2225/2427/,1,NULL,NULL
2428,Vibrator,2,2225,/2225/2428/,1,NULL,NULL
2429,Storage,2,2227,/2227/2429/,0,NULL,NULL
2430,Basket,2,2229,/2229/2430/,1,NULL,NULL
2431,Bowl,2,2229,/2229/2431/,1,NULL,NULL
2432,Micro,2,2229,/2229/2432/,1,NULL,NULL
2433,Other,2,2229,/2229/2433/,1,NULL,NULL
2434,Refrigerated,2,2229,/2229/2434/,1,NULL,NULL
2435,Rotors,2,2229,/2229/2435/,1,NULL,NULL
2436,Integrators,2,2230,/2230/2436/,1,NULL,NULL
2437,Sodium Bicarbonate,2,2231,/2231/2437/,1,NULL,NULL
2438,a/d Converter,2,2232,/2232/2438/,1,Refurbished used laboratory equipment ,"HP, Hewlett Packard, Agilent 5890"
2439,Accessories,2,2232,/2232/2439/,1,NULL,NULL
2440,Atomic Emission Detector,2,2232,/2232/2440/,1,NULL,NULL
2441,Autosamplers,2,2232,/2232/2441/,1,NULL,NULL
2442,Columns,2,2232,/2232/2442/,1,NULL,NULL
2443,Concentrator,2,2232,/2232/2443/,1,NULL,NULL
2444,Feed Purification ,2,2232,/2232/2444/,1,NULL,NULL
2445,FID,2,2232,/2232/2445/,1,NULL,NULL
2446,Flow Calibrator,2,2232,/2232/2446/,1,NULL,NULL
2447,Gas Chromatographs,2,2232,/2232/2447/,1,NULL,NULL
2448,Head Space,2,2232,/2232/2448/,1,NULL,NULL
2449,Photoionization,2,2232,/2232/2449/,1,NULL,NULL
2450,Supplies,2,2232,/2232/2450/,1,NULL,NULL
2451,Accessories,2,2233,/2233/2451/,1,NULL,NULL
2452,Autosamplers,2,2233,/2233/2452/,1,NULL,NULL
2453,Column Heater/Chiller,2,2233,/2233/2453/,1,NULL,NULL
2454,Column Selector,2,2233,/2233/2454/,1,NULL,NULL
2455,Columns,2,2233,/2233/2455/,1,NULL,NULL
2456,Controllers,2,2233,/2233/2456/,1,NULL,NULL
2457,Data Server,2,2233,/2233/2457/,1,NULL,NULL
2458,Degasser,2,2233,/2233/2458/,1,NULL,NULL
2459,Detectors,2,2233,/2233/2459/,1,NULL,NULL
2460,FPLC,2,2233,/2233/2460/,1,NULL,NULL
2461,Fraction Collector,2,2233,/2233/2461/,1,NULL,NULL
2462,Ion,2,2233,/2233/2462/,1,NULL,NULL
2463,Low Pressure LC,2,2233,/2233/2463/,1,NULL,NULL
2464,Other,2,2233,/2233/2464/,1,NULL,NULL
2465,Prep,2,2233,/2233/2465/,1,NULL,NULL
2466,Prep-Systems,2,2233,/2233/2466/,1,NULL,NULL
2467,Pumps,2,2233,/2233/2467/,1,NULL,NULL
2468,Scintillation,2,2233,/2233/2468/,1,NULL,NULL
2469,Solvent Recyler,2,2233,/2233/2469/,1,NULL,NULL
2470,System,2,2233,/2233/2470/,1,NULL,NULL
2471,Valves,2,2233,/2233/2471/,1,NULL,NULL
2472,Graphic Terminal,2,2234,/2234/2472/,1,NULL,NULL
2473,Heating Mantle,2,2234,/2234/2473/,1,NULL,NULL
2474,Indexers,2,2234,/2234/2474/,1,NULL,NULL
2475,Liquid Level,2,2234,/2234/2475/,1,NULL,NULL
2476,Mass Flow,2,2234,/2234/2476/,1,NULL,NULL
2477,Powerstats,2,2234,/2234/2477/,1,NULL,NULL
2478,Pressure,2,2234,/2234/2478/,1,NULL,NULL
2479,Temperature,2,2234,/2234/2479/,1,NULL,NULL
2480,Vacuum,2,2234,/2234/2480/,1,NULL,NULL
2481,Fluid Bed,2,2237,/2237/2481/,1,NULL,NULL
2482,Accessories,2,2240,/2240/2482/,1,NULL,NULL
2483,Aspirator,2,2240,/2240/2483/,1,NULL,NULL
2484,Centrifugal,2,2240,/2240/2484/,1,NULL,NULL
2485,Centrifuge,2,2240,/2240/2485/,1,NULL,NULL
2486,Kugelrohr,2,2240,/2240/2486/,1,NULL,NULL
2487,Misc,2,2240,/2240/2487/,1,NULL,NULL
2488,Other Types,2,2240,/2240/2488/,1,NULL,NULL
2489,Pumps,2,2240,/2240/2489/,1,NULL,NULL
2490,Rotoevaporator,2,2240,/2240/2490/,1,NULL,NULL
2491,Rototherm,2,2240,/2240/2491/,1,NULL,NULL
2492,Thin film,2,2240,/2240/2492/,1,NULL,NULL
2493,Vac Pump/Controller,2,2240,/2240/2493/,1,NULL,NULL
2494,Vacuum,2,2240,/2240/2494/,1,NULL,NULL
2495,Vapor Traps,2,2240,/2240/2495/,1,NULL,NULL
2496,Wipe Film,2,2240,/2240/2496/,1,NULL,NULL
2497,Ultraviolet,2,2241,/2241/2497/,1,NULL,NULL
2498,Accessories,2,2243,/2243/2498/,1,NULL,NULL
2499,Bio Reactor,2,2243,/2243/2499/,1,NULL,NULL
2500,Fermenters,2,2243,/2243/2500/,1,NULL,NULL
2501,Fermentors,2,2243,/2243/2501/,0,NULL,NULL
2502,Probes,2,2243,/2243/2502/,1,NULL,NULL
2503,Filters,2,2244,/2244/2503/,1,NULL,NULL
2504,Manifolds,2,2244,/2244/2504/,1,NULL,NULL
2505,Pharmaceutical,2,2244,/2244/2505/,1,NULL,NULL
2506,Plate,2,2244,/2244/2506/,1,NULL,NULL
2507,Porcelain,2,2244,/2244/2507/,1,NULL,NULL
2508,Pressure,2,2244,/2244/2508/,1,NULL,NULL
2509,Supplies,2,2244,/2244/2509/,1,NULL,NULL
2510,System,2,2244,/2244/2510/,1,NULL,NULL
